Employee ID,Last Name,First Name,Birthday,Address,Phone Number,SSS,Philhealth,TIN,Pag-ibig,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi Monthly Rate,Hourly Rate
10001,Garcia,Manuel III,10/11/83,"Valero Carpark Building Valero Street 1227, Makati City",966-860-270,44-4506057-3,820127000000,442-605-657-000,691295000000,Regular,Chief Executive Officer,N/A,90000,1500,2000,1000,45000,535.71
10002,Lim,Antonio,6/19/88,"San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite",171-867-411,52-2061274-9,331736000000,683-102-776-000,663905000000,Regular,Chief Operating Officer,"Garcia, Manuel III",60000,1500,2000,1000,30000,357.14
10003,Aquino,Bianca Sofia,8/4/89,"Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City",966-889-370,30-8870406-2,177451000000,971-711-280-000,171520000000,Regular,Chief Finance Officer,"Garcia, Manuel III",60000,1500,2000,1000,30000,357.14
10004,Reyes,Isabella,6/16/94,"460 Solanda Street Intramuros 1000, Manila",786-868-477,40-2511815-0,341911000000,876-809-437-000,416947000000,Regular,Chief Marketing Officer,"Garcia, Manuel III",60000,1500,2000,1000,30000,357.14
10005,Hernandez,Eduard,9/23/89,"National Highway, Gingoog,  Misamis Occidental",088-861-012,50-5577638-1,957436000000,031-702-374-000,952347000000,Regular,IT Operations and Systems,"Lim, Antonio",52670,1500,1000,1000,26335,313.51
10006,Villanueva,Andrea Mae,2/14/88,"17/85 Stracke Via Suite 042, Poblacion, Las Pi�as 4783 Dinagat Islands ",918-621-603,49-1632020-8,382189000000,317-674-022-000,441093000000,Regular,HR Manager,"Lim, Antonio",52670,1500,1000,1000,26335,313.51
10007,San Jose,Brad ,3/15/96,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",797-009-261,40-2400714-1,239193000000,672-474-690-000,210850000000,Regular,HR Team Leader,"Villanueva, Andrea Mae",42975,1500,800,800,21488,255.8
10008,Romualdez,Alice,5/14/92,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte ",983-606-799,55-4476527-2,545653000000,888-572-294-000,211386000000,Regular,HR Rank and File,"San, Jose Brad",22500,1500,500,500,11250,133.93
10009,Atienza,Rosie ,9/24/48,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",266-036-427,41-0644692-3,708988000000,604-997-793-000,260108000000,Regular,HR Rank and File,"San, Jose Brad",22500,1500,500,500,11250,133.93
10010,Alvaro,Roderick,3/30/88,"284 T. Morato corner, Scout Rallos Street, Quezon City",053-381-386,64-7605054-4,578115000000,525-420-419-000,799254000000,Regular,Accounting Head,"Aquino, Bianca Sofia ",52670,1500,1000,1000,26335,313.51
